#{"t_start": 1667299714.9838753, "env_id": "MiniHack-Quest-Hard-v0"}
r,l,t
-10.24,1000,0.461751
-9.85,1000,1.215944
-10.16,1000,1.870271
-9.77,1000,2.594701
-10.18,1000,3.140805
-9.92,1000,3.620896
-9.86,1000,4.089637
-9.95,1000,4.530095
-9.81,1000,4.954023
-9.75,1000,5.382109
-9.84,1000,5.81165
-9.86,1000,6.232146
-9.88,1000,6.641177
-10.02,1000,7.058211
-9.95,1000,7.468207
-9.98,1000,7.884057
-9.93,1000,8.307404
-10.07,1000,8.770627
-9.95,1000,9.234209
-10.15,1000,9.669859
-9.85,1000,10.099112
-9.79,1000,10.515368
-9.92,1000,10.922713
-9.84,1000,11.324082
-9.92,1000,11.739412
-10.09,1000,12.141462
-9.96,1000,12.553839
-10.03,1000,12.962888
-9.95,1000,13.380716
-10.05,1000,13.833739
-10.08,1000,14.319829
-10.03,1000,14.832511
-10.1,1000,15.335973
-10.07,1000,15.801922
-9.95,1000,16.23079
-9.9,1000,16.647753
-10.06,1000,17.0723
-10.03,1000,17.476129
-10.18,1000,17.876603
-9.81,1000,18.312023
-9.88,1000,18.746534
-10.17,1000,19.160967
-9.92,1000,19.580353
-10.04,1000,19.995949
-10.01,1000,20.420949
-9.86,1000,20.826983
-9.92,1000,21.229956
-10.09,1000,21.634171
-10.15,1000,22.047647
-9.89,1000,22.45042
-10.18,1000,25.859043
-10.64,1000,28.642583
-10.3,1000,30.923196
-10.28,1000,33.108686
-10.58,1000,35.528268
-10.5,1000,37.712547
-10.58,1000,40.027268
-10.32,1000,42.250221
-10.63,1000,44.510473
-10.3,1000,46.742785
-10.48,1000,48.931844
-10.39,1000,51.119953
-10.43,1000,53.252545
-10.34,1000,55.429455
-10.57,1000,57.579432
-10.48,1000,59.698243
-10.13,1000,61.827936
-10.37,1000,63.923989
-10.37,1000,66.089552
-10.62,1000,68.095736
-10.37,1000,70.518899
-10.34,1000,72.86907
-10.4,1000,74.916229
-10.49,1000,76.943307
-10.7,1000,78.916965
-10.59,1000,80.959124
-10.63,1000,82.938567
-10.54,1000,84.911694
-10.44,1000,86.942885
-10.59,1000,88.901279
-10.55,1000,90.914786
-10.65,1000,92.890399
-10.63,1000,94.85772
-10.68,1000,96.882258
-10.43,1000,98.887452
-10.58,1000,100.914955
-10.86,1000,103.761303
-10.78,1000,106.473989
-10.66,1000,108.532426
-10.89,1000,110.707079
-10.47,1000,112.746466
-10.6,1000,114.83033
-10.38,1000,116.984091
-10.86,1000,119.07985
-10.47,1000,121.385731
-10.8,1000,123.512604
-10.68,1000,125.834012
-10.76,1000,128.044485
-10.59,1000,130.405491
-10.69,1000,132.770023
-10.82,1000,135.113249
-10.82,1000,137.471041
-10.65,1000,139.856625
-10.91,1000,142.349645
-10.89,1000,144.780956
-10.96,1000,147.367474
-10.77,1000,149.794677
-10.9,1000,152.302037
-10.54,1000,154.726762
-10.88,1000,157.599128
-10.88,1000,160.208492
-10.57,1000,162.75189
-10.56,1000,165.436169
-10.74,1000,168.814679
-10.63,1000,171.648197
-10.76,1000,175.268676
-10.81,1000,178.838811
-10.88,1000,181.494118
-10.65,1000,184.193521
-10.6,1000,191.375386
-10.77,1000,201.170048
-10.76,1000,207.098194
-10.91,1000,210.59056
-10.18,1000,213.634192
-10.83,1000,217.364384
-10.71,1000,220.203727
-10.79,1000,223.285809
-10.7,1000,226.048265
-10.71,1000,229.285207
-10.56,1000,233.192665
-10.45,1000,236.082648
-10.52,1000,240.350782
-10.75,1000,244.222865
-10.65,1000,247.485064
-10.67,1000,251.838198
-10.9,1000,255.835769
-10.77,1000,259.94767
-10.74,1000,263.849922
-10.66,1000,266.942879
-10.77,1000,269.548977
-10.88,1000,272.847615
-10.46,1000,276.665727
-10.66,1000,281.773562
-10.45,1000,285.182566
-10.53,1000,288.628536
-10.7,1000,291.391831
-10.7,1000,294.381771
-10.73,1000,298.225749
-10.87,1000,304.335817
-10.66,1000,315.46388
-10.53,1000,328.724594
-10.81,1000,338.165922
-10.73,1000,346.810655
-10.77,1000,354.091552
-10.85,1000,359.5936
-10.8,1000,368.093924
-10.72,1000,376.230797
-10.94,1000,387.745479
-10.57,1000,397.032835
-10.82,1000,409.634431
-10.77,1000,425.654936
-10.81,1000,439.578592
-10.87,1000,452.224206
-10.91,1000,460.70877
-10.69,1000,477.272919
-10.85,1000,491.592077
-10.69,1000,503.423778
-10.73,1000,517.34256
-10.49,1000,522.062601
-10.81,1000,527.343357
-10.83,1000,532.663396
-10.69,1000,536.510669
-10.7,1000,542.740491
-10.73,1000,547.014697
-10.81,1000,555.126417
-10.86,1000,562.710228
-10.87,1000,568.595825
-10.69,1000,574.300357
-10.98,1000,578.476725
-10.31,1000,581.594306
-10.54,1000,584.425813
-10.48,1000,587.713973
-10.53,1000,590.855473
-10.79,1000,594.206201
-10.59,1000,597.6361
-10.62,1000,601.484891
-10.73,1000,604.297887
-10.96,1000,606.736182
-10.33,1000,609.837942
-10.68,1000,612.546525
-10.73,1000,614.911286
-10.47,1000,617.393361
-10.66,1000,619.801619
-10.77,1000,622.119527
-10.69,1000,624.476737
-10.88,1000,627.801006
